year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2019,3,2527483,13601,19071,19071,
2019,4,100515,2234,18792,19071,
2020,1,46161,211,18989,19071,
2020,2,482130,4206,19071,19071,
2020,3,1452588,9811,19071,19071,
2020,4,95671,2300,19027,19071,
2021,1,38816,179,18344,19071,
2021,2,761589,6093,19071,19071,
2021,3,2095493,12492,19071,19071,
2021,4,435057,5587,19047,19071,
2022,1,1997,23,19069,19071,
2022,2,431163,4224,19071,19071,
2022,3,857617,7066,19071,19071,
2022,4,204011,4195,19071,19071,
2023,1,3722,25,18104,19071,
2023,2,771410,5303,19071,19071,
2023,3,1476952,8830,19071,19071,
2023,4,495746,3782,18838,19071,
