year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2016,2,322047,1038,5824,5830,
2016,3,612309,2616,5828,5830,
2016,4,85668,1267,5829,5830,
2017,1,55611,446,5715,5830,
2017,2,431911,1496,5772,5830,
2017,3,1010734,3816,5829,5830,
2017,4,79168,921,5817,5830,
2018,1,98135,672,4461,5830,
2018,2,172174,916,5510,5830,
2018,3,799890,3497,5830,5830,
2018,4,103668,1169,5796,5830,
2019,1,119965,1441,5830,5830,
2019,2,1236356,3377,5823,5830,
2019,3,417909,2539,5817,5830,
2019,4,87797,978,5827,5830,
2020,1,243871,1932,5830,5830,
2020,2,389680,1479,5824,5830,
2020,3,684548,4106,5830,5830,
2020,4,182323,1514,5830,5830,
2021,1,1227,7,4792,5830,
2021,2,556637,2610,5830,5830,
2021,3,765192,3038,5829,5830,
2021,4,110236,950,5824,5830,
2022,1,76455,704,5793,5830,
2022,2,626961,1756,5829,5830,
2022,3,389946,1892,5830,5830,
2022,4,111222,932,5793,5830,
2023,1,11589,81,4921,5830,
2023,2,847081,2858,5827,5830,
2023,3,606886,2753,5829,5830,
2023,4,36678,375,5830,5830,
