year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2001,1,2126,5,10943,11203,
2001,2,26098,289,11139,11203,
2001,3,86632,1249,11139,11203,
2001,4,21039,431,11134,11203,
2002,1,4059,24,11158,11203,
2002,2,11266,99,11104,11203,
2002,3,37949,653,11007,11203,
2002,4,16728,317,11170,11203,
2003,1,4059,25,11176,11203,
2003,2,29177,307,11192,11203,
2003,3,87809,1519,11121,11203,
2003,4,8366,105,10918,11203,
2004,1,52770,379,11107,11203,
2004,2,39827,370,11056,11203,
2004,3,42564,836,11123,11203,
2004,4,29323,351,11153,11203,
2005,1,17999,201,11188,11203,
2005,2,26215,147,11060,11203,
2005,3,105870,1728,11017,11203,
2005,4,81121,1027,11183,11203,
2006,1,11324,117,10863,11203,
2006,2,33083,549,11139,11203,
2006,3,108970,1926,11074,11203,
2006,4,380290,3357,11120,11203,
2007,1,8512,35,11138,11203,
2007,2,36804,385,11153,11203,
2007,3,15190,336,11113,11203,
2007,4,866,15,8798,11203,
2008,1,20531,83,11012,11203,
2008,2,38278,606,11162,11203,
2008,3,261754,2424,10728,11203,
2008,4,232317,1221,10809,11203,
2009,1,47407,242,11171,11203,
2009,2,27439,239,11031,11203,
2009,3,34013,519,11054,11203,
2009,4,31128,153,11146,11203,
2010,1,24252,92,10535,11203,
2010,2,85364,304,10958,11203,
2010,3,75033,902,11150,11203,
2010,4,261846,2117,11081,11203,
2011,1,11487,104,11108,11203,
2011,2,41487,292,10340,11203,
2011,3,272770,3827,11128,11203,
2011,4,32249,383,11179,11203,
2012,1,1709,9,10519,11203,
2012,2,12220,78,10866,11203,
2012,3,128049,1472,10782,11203,
2012,4,226163,1104,7931,11203,
2013,1,13448,72,10721,11203,
2013,2,95057,556,11146,11203,
2013,3,403341,4238,11195,11203,
2013,4,92362,1050,11203,11203,
2014,1,15705,116,10736,11203,
2014,2,28514,331,11183,11203,
2014,3,244842,2619,11189,11203,
2014,4,179572,2092,11203,11203,
2015,1,8752,77,11203,11203,
2015,2,18318,198,11165,11203,
2015,3,104585,1341,11198,11203,
2015,4,114629,1385,11203,11203,
2016,1,14933,37,11084,11203,
2016,2,15169,151,11177,11203,
2016,3,211132,1421,11190,11203,
2016,4,61154,575,11116,11203,
2017,1,1568,4,10417,11203,
2017,2,35229,265,11144,11203,
2017,3,369492,2384,11201,11203,
2017,4,86665,1477,11203,11203,
2018,1,36072,327,11190,11203,
2018,2,36437,261,11185,11203,
2018,3,205124,1548,11201,11203,
2018,4,175539,1409,11203,11203,
2019,1,23005,94,11203,11203,
2019,2,25123,308,11187,11203,
2019,3,57113,532,11193,11203,
2019,4,24495,340,11202,11203,
2020,1,17813,82,10877,11203,
2020,2,34812,312,11184,11203,
2020,3,270917,1370,11201,11203,
2020,4,125537,941,11195,11203,
2021,1,6436,57,11170,11203,
2021,2,30944,423,11178,11203,
2021,3,102982,941,11196,11203,
2021,4,24675,307,11183,11203,
2022,1,16400,126,11186,11203,
2022,2,26700,231,11196,11203,
2022,3,73517,618,11200,11203,
2022,4,17706,307,11147,11203,
2023,1,11841,66,11109,11203,
2023,2,24824,171,11181,11203,
2023,3,41436,405,11194,11203,
2023,4,4905,67,11203,11203,
